Identifier,Titel,Kurzform,URL,Precision,Beispiele
db:djia,Dow Jones Industrial Average,DJIA ; INDU,http://www.bloomberg.com/quote/INDU:IND,,https://mpra.ub.uni-muenchen.de/id/eprint/11292
db:iseq,Irish Stock Exchange Overall Index,ISEQ,http://www.bloomberg.com/quote/ISEQ:IND,hoch,
db:bankscope,BvD BankScope,BankScope,http://www.bvdinfo.com/de-de/our-products/company-information/international-products/bankscope,hoch,http://dx.doi.org/10.1016/j.jbankfin.2013.02.004
db:orbis,BvD Orbis,Orbis,http://www.bvdinfo.com/de-de/our-products/company-information/international-products/orbis,,
db:isis,BvD Isis,Isis,https://isis.bvdinfo.com/version-2016317/home.serv?product=IsisNeo,mittel,
db:cac40,CAC 40 Index,CAC40,http://www.bloomberg.com/quote/CAC:IND,hoch,http://dx.doi.org/10.1080/0960310042000243547
db:dax100,Deutsche Boerse AG German Stock Index DAX,DAX100,http://www.bloomberg.com/quote/DAX:IND,hoch,http://dx.doi.org/10.1080/0960310042000243547
db:ibex35,IBEX 35 Index,IBEX35,http://www.bloomberg.com/quote/IBEX:IND,hoch,http://dx.doi.org/10.1080/0960310042000243547
db:wgi,World Bank World Governance Indicators,WGI,http://data.worldbank.org/data-catalog/worldwide-governance-indicators,,http://dx.doi.org/10.1016/j.jbankfin.2013.02.004
db:bloomberg,Bloomberg,Bloomberg,http://www.bloomberg.com,mittel,http://dx.doi.org/10.1016/j.jbankfin.2013.02.004
db:dice,Database for Institutional Comparisons in Europe (DICE),DICE Report,https://www.cesifo-group.de/de/ifoHome/facts/DICE.html,gering,http://dx.doi.org/10.1016/j.jbankfin.2013.02.004
db:chelem,CEPII CHELEM,CHELEM,http://www.cepii.fr/cepii/en/bdd_modele/presentation.asp?id=17,mittel,https://mpra.ub.uni-muenchen.de/id/eprint/3457
db:gravity,CEPII Gravity,,http://www.cepii.fr/CEPII/en/bdd_modele/presentation.asp?id=8,gering,
db:econmap,CEPII EconMap,EconMap,http://www.cepii.fr/cepii/en/bdd_modele/presentation.asp?id=11,hoch,ttps://mpra.ub.uni-muenchen.de/id/eprint/54122
db:macmap,CEPII Market Access Map,MAcMap,http://www.cepii.fr/anglaisgraph/bdd/macmap.htm,hoch,http://dx.doi.org/10.1016/j.regsciurbeco.2012.07.011
db:baci,CEPII BACI,BACI,http://www.cepii.fr/CEPII/en/bdd_modele/presentation.asp?id=1,,ttps://mpra.ub.uni-muenchen.de/id/eprint/54122
db:quandl,Quandl Financial and Economic Data,Quandl,https://www.quandl.com/,hoch,https://mpra.ub.uni-muenchen.de/id/eprint/69770
db:ted,Total Economy Database,,https://www.conference-board.org/data/economydatabase/,mittel,https://mpra.ub.uni-muenchen.de/id/eprint/39059
db:imoneynet,iMoneyNet,iMoneyNet,http://www.imoneynet.com/,hoch,https://ub-madoc.bib.uni-mannheim.de/40804
db:zephyr,BvD Zephyr,Zephyr,https://zephyr.bvdinfo.com/version-2016718/Home.serv?product=zephyrneo,,https://ub-madoc.bib.uni-mannheim.de/35977
db:midi,Bundesbank Mikrodatenbank Direktinvestitionen,Bundesbank Midi,https://www.bundesbank.de/Redaktion/DE/Standardartikel/Bundesbank/Forschungszentrum/forschungsdaten_mikrodaten_midi.html,,https://ub-madoc.bib.uni-mannheim.de/35977
db:worldtaxdatabase,World Tax Database,World Tax Database,http://www.bus.umich.edu/otpr/otpr/default.asp,,
db:execucomp,ExecuComp,ExecuComp,http://www.spcapitaliq.com/our-capabilities/our-capabilities.html?product=compustat-execucomp,hoch,
db:nber,NBER Manufacturing Industry Database,,http://www.nber.org/nberces/,,
db:wits,World Bank World Integrated Trade Solution,WITS,http://wits.worldbank.org/,,
db:ilostat,ILOSTAT,ILOSTAT,https://www.ilo.org/ilostat,hoch,https://ub-madoc.bib.uni-mannheim.de/39471
db:fdsd,World Bank Financial Development and Structure Dataset,FDSD,"http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/0,,contentMDK:20696167~pagePK:64214825~piPK:64214943~theSitePK:469382,00.html",,
